Year,Age,Sex,Grade,QuitTime,radius,theta,x,y
2020,17 years old,Male,12th,1 to 4 years ago,1.9425904096802697,5.239854907754906,0.9777937615052078,-1.6785639278094995
2020,18 years old,Male,12th,1 to 4 years ago,2.531629741913639,1.7038654604241534,-0.33588843989524186,2.5092485142142578
2020,18 years old,Male,12th,1 to 4 years ago,0.7902989623602479,0.08100824307276915,0.7877072766712654,0.06395073249637635
2020,17 years old,Male,12th,5 or more years ago,1.093402727600187,0.5299258855630634,0.9434365685712374,0.5526816134141408
2020,18 years old,Female,12th,5 or more years ago,1.6420084219425917,2.5708158193350306,-1.3817197370224097,0.8871540035716026
2020,18 years old,Female,12th,1 to 4 years ago,1.6678867281414569,3.1503064651493067,-1.667823406795602,-0.014533466727747406
2020,18 years old,Female,12th,1 to 4 years ago,1.3208220939850435,5.856179465266595,1.2022252806585696,-0.5470149710057839
2020,17 years old,Male,12th,Not during the past 7 days but sometime during the past 30 days,2.9481905869441105,0.8281298615156245,1.9937274843115917,2.1718375757055206
2020,19 years old or older,Male,12th,Not today but sometime during past 7 days,2.995473020290956,2.7071871423537304,-2.717254701674192,1.2607083332478297
2020,17 years old,Female,12th,5 or more years ago,0.17712668888270855,3.749801996361643,-0.14536300479162265,-0.10120998346261359
2020,12 years old,Female,6th,Not during the past 30 days but sometime during the past 6 months,2.278170531685464,4.782956050894997,0.16063042752182785,-2.272500569239573
2020,12 years old,Female,6th,Not during the past 6 months but sometime during the past year,1.1511563655454666,2.0780913246392196,-0.5592486705471524,1.0061818436182848
2020,12 years old,Male,6th,1 to 4 years ago,2.0810369183076545,0.4706161847216741,1.85480543322139,0.9436161615041531
2020,12 years old,Female,6th,Not during the past 30 days but sometime during the past 6 months,2.271963094850071,0.7569149947877184,1.6516214848582047,1.5601162697425763
2020,12 years old,Female,7th,1 to 4 years ago,0.49617922718171026,4.0177413864155795,-0.31761163353523464,-0.38120424411294146
2020,13 years old,Female,7th,1 to 4 years ago,2.763767624506727,1.8256447505289684,-0.6967423107738349,2.674502128368772
2020,12 years old,Male,7th,Not during the past 30 days but sometime during the past 6 months,2.724425218673423,3.8408456877596877,-2.0850657787413462,-1.7535659298884292
2020,14 years old,Female,7th,Not during the past 7 days but sometime during the past 30 days,1.8986325474688783,1.3015868810037552,0.5049782359464225,1.8302465767017848
2020,15 years old,Female,8th,5 or more years ago,0.7657051113899797,4.816942394014035,0.07991130671182145,-0.7615238017740157
2020,14 years old,Female,8th,1 to 4 years ago,2.878405234753154,1.9303013657142154,-1.012654502113174,2.6943918710544463
2020,13 years old,Female,8th,1 to 4 years ago,1.190265023522079,5.069101868988312,0.4156357119794076,-1.1153375189364816
2020,14 years old,Female,8th,5 or more years ago,2.736924609588459,0.30468538330062145,2.6108656461596507,0.821058400038808
2020,11 years old,Male,6th,Not during the past 30 days but sometime during the past 6 months,1.268348399642855,0.7919631926058377,0.8909505721964752,0.9027262823133959
2020,13 years old,Male,7th,1 to 4 years ago,1.6178794434992596,4.697879700357795,-0.023473442273516856,-1.617709149138159
2020,13 years old,Female,8th,Not today but sometime during past 7 days,1.6865190553711729,0.29510465526484264,1.6136137199230545,0.49050717324638127
2020,15 years old,Female,8th,Earlier today,0.4965664554154501,3.982727586190258,-0.3310197780607118,-0.3701407180742228
2020,13 years old,Female,8th,Earlier today,2.028224946348928,1.7608008349824655,-0.3830573011994197,1.9917237602112219
2020,14 years old,Male,8th,Not during the past 6 months but sometime during the past year,0.6971490788972005,6.177296148402522,0.6932443325604841,-0.07368265453947716
2020,14 years old,Male,9th,Not during the past 7 days but sometime during the past 30 days,0.9898038086714223,1.905369846210641,-0.3250182810191519,0.9349196204293763
2020,16 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,1.6916039547650144,0.46953851295231924,1.5085338288228964,0.765408144112387
2020,16 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,0.9264105845475569,4.484067884248862,-0.20968609767152052,-0.9023681685459852
2020,16 years old,Male,11th,Not during the past 7 days but sometime during the past 30 days,1.894021195010282,2.4371587184488632,-1.4432029724926614,1.22657305829556
2020,16 years old,Male,11th,1 to 4 years ago,1.2575173242483288,3.252106909797872,-1.2498458553495477,-0.13869087443027306
2020,17 years old,Female,11th,1 to 4 years ago,1.229210839350708,0.5887841854760779,1.0222320117980186,0.6826426602788955
2020,17 years old,Male,11th,Earlier today,2.9493343272944914,5.386430297962534,1.8408228312898733,-2.3043316336759307
2020,17 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,1.7135029911063613,5.199224897729046,0.8016311250987815,-1.5144239960471138
2020,17 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,2.8622828668449074,2.4348121846834556,-2.1766417285920183,1.8587345144441292
2020,12 years old,Female,6th,1 to 4 years ago,1.39783459356986,5.035084127258539,0.443286539682979,-1.3256841987126897
2020,12 years old,Male,6th,Not during the past 6 months but sometime during the past year,2.1601559655740856,4.2243062194242915,-1.012969240943943,-1.9079221977079575
2020,12 years old,Female,6th,Not during the past 30 days but sometime during the past 6 months,2.8485512285260484,0.7894637502540311,2.0060242396630286,2.022402247680126
2020,11 years old,Female,6th,Not during the past 30 days but sometime during the past 6 months,0.851635086373426,1.3222229043712452,0.20952052372255317,0.825459551087332
2020,12 years old,Male,6th,1 to 4 years ago,2.4266233960166574,0.30365576400141625,2.3156047824751704,0.7255863818137251
2020,12 years old,Female,7th,Not during the past 30 days but sometime during the past 6 months,1.4246481160400435,1.7700914180868292,-0.282049588808131,1.396449169855319
2020,14 years old,Female,7th,Not today but sometime during past 7 days,2.765427651163191,3.180599441899096,-2.7633240779812316,-0.10784309837508292
2020,12 years old,Male,7th,5 or more years ago,0.2575966825708747,3.0620651513272508,-0.2567825107864375,0.02046443318865924
2020,13 years old,Male,7th,Not during the past 6 months but sometime during the past year,1.9436423114966601,2.645569688242297,-1.709399027164166,0.9250407563833514
2020,13 years old,Female,7th,Not today but sometime during past 7 days,1.4558901160489768,0.8659370774807812,0.9433099703815463,1.108955512988627
2020,13 years old,Male,7th,5 or more years ago,0.7221927452366799,5.150087657731483,0.30610588241336656,-0.6541112673119355
2020,12 years old,Female,7th,Not during the past 7 days but sometime during the past 30 days,0.12191672208718957,2.923309533701682,-0.1190237217766265,0.0264015298595597
2020,13 years old,Female,8th,Not during the past 30 days but sometime during the past 6 months,1.3689823177643121,0.5646021437741194,1.156518386829391,0.7325147147169749
2020,12 years old,Female,6th,Not today but sometime during past 7 days,0.15584549566265196,5.024919339420039,0.04791740983991678,-0.1482961238622612
2020,13 years old,Male,8th,Not today but sometime during past 7 days,0.4699311192147434,2.1439343898271725,-0.25483017101840355,0.3948377397680629
2020,13 years old,Female,8th,1 to 4 years ago,1.4158033228246496,4.3551477896380195,-0.49509358794593894,-1.3264167475179645
2020,15 years old,Female,9th,Not during the past 30 days but sometime during the past 6 months,1.0334343802649528,1.9025855225066686,-0.3366259170591822,0.9770719575740937
2020,15 years old,Male,9th,1 to 4 years ago,0.3628189251525328,0.29472947529423377,0.3471744487049549,0.10539200451291263
2020,15 years old,Female,10th,1 to 4 years ago,1.4117755999788641,5.876779392593397,1.2967829934922879,-0.558089788909332
2020,15 years old,Male,10th,1 to 4 years ago,1.6293446838390082,4.5161459765444505,-0.3176991271292547,-1.5980711383964568
2020,16 years old,Male,10th,Earlier today,2.6132411235244946,2.4673671736437046,-2.041439695015924,1.6314267195595558
2020,15 years old,Male,10th,Not today but sometime during past 7 days,2.6494377380004153,5.674177963076349,2.173111950155575,-1.5156202623453512
2020,16 years old,Female,10th,5 or more years ago,2.0364217719994486,1.5960340657737413,-0.05138922538856525,2.0357732636488124
2020,16 years old,Male,11th,Not during the past 30 days but sometime during the past 6 months,2.0691937959752975,1.5902697472210219,-0.040291734087189085,2.068801474638615
2020,17 years old,Female,11th,1 to 4 years ago,0.13103724292013794,3.9736521032456795,-0.08823452995762782,-0.0968784122251584
2020,16 years old,Female,11th,1 to 4 years ago,2.467316218232736,4.893417693254356,0.4442194885452884,-2.4269978093832005
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,2.008698109164834,4.923210019938631,0.42034585407269387,-1.9642243906250316
2020,16 years old,Male,11th,5 or more years ago,1.935575074632652,3.48625870146843,-1.8217406945860508,-0.6539967211143568
2020,17 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,1.301091089169495,2.3084536713327553,-0.8750567298770268,0.9628674580715596
2020,18 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,0.5389789110515266,4.156941204486737,-0.28421641412309323,-0.45795119445340443
2020,18 years old,Male,12th,Not during the past 30 days but sometime during the past 6 months,2.2875127121107655,2.668189315880581,-2.035936187995902,1.0429181398734344
2020,11 years old,Female,6th,1 to 4 years ago,0.8177336702356115,4.189420867795084,-0.40842013208553096,-0.7084358482913194
2020,12 years old,Female,6th,Not during the past 6 months but sometime during the past year,1.7781403388828039,3.2195908022743343,-1.7727342343357737,-0.13855107064260053
2020,13 years old,Male,7th,1 to 4 years ago,2.0098543645115567,5.545274184390845,1.487041904866612,-1.3521172063533664
2020,15 years old,Male,9th,Not during the past 6 months but sometime during the past year,1.4063664308516308,0.5489328530966963,1.1997456352375842,0.7338098858387784
2020,15 years old,Male,9th,Not during the past 6 months but sometime during the past year,2.678894746396691,5.974689815184073,2.5524280233411054,-0.8133807521295345
2020,15 years old,Female,9th,Not during the past 7 days but sometime during the past 30 days,2.853668471099809,1.3261148135934575,0.6912935865528596,2.768670605207489
2020,15 years old,Male,9th,Not during the past 30 days but sometime during the past 6 months,1.1284544147085398,3.393104387937359,-1.0929501983626098,-0.2808366606665252
2020,15 years old,Female,9th,Not during the past 6 months but sometime during the past year,2.412308744550683,0.9839129107792105,1.3358609054731665,2.0086585374981243
2020,16 years old,Female,9th,Not during the past 6 months but sometime during the past year,2.507640225836076,1.2858222548809424,0.7049793388443334,2.4065044429698883
2020,15 years old,Male,9th,Not during the past 30 days but sometime during the past 6 months,2.973197386879474,3.2285612433120674,-2.9619605299511527,-0.2582489503529859
2020,16 years old,Male,10th,1 to 4 years ago,1.5650394226890059,5.30144236765696,0.8694955169915802,-1.3012785791298807
2020,15 years old,Male,10th,Not during the past 6 months but sometime during the past year,1.7382747501600535,4.687365089307754,-0.043493858404469087,-1.737730528973088
2020,16 years old,Female,10th,Not during the past 6 months but sometime during the past year,2.6091354019008577,4.675950286246818,-0.0950524488500364,-2.6074034167002162
2020,16 years old,Male,10th,5 or more years ago,1.1888466973323375,5.5845190757838115,0.9103008007107521,-0.7646626197110526
2020,16 years old,Female,10th,5 or more years ago,1.7576033656019718,1.0656950623855193,0.8504973469433145,1.5381234845153888
2020,16 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,2.3281139746541157,0.37912437518342446,2.162792428463496,0.8616516641664188
2020,16 years old,Male,10th,Not during the past 6 months but sometime during the past year,1.4983210751088336,5.094321084498437,0.5584453201969886,-1.3903614164904656
2020,15 years old,Female,10th,Not during the past 6 months but sometime during the past year,1.4432477199472487,6.144873812464947,1.4294649983699517,-0.1989819076401825
2020,17 years old,Male,11th,Not during the past 7 days but sometime during the past 30 days,0.8403677153168245,5.682240041705713,0.6931365598966563,-0.4751627155843021
2020,16 years old,Female,11th,1 to 4 years ago,1.3357846583239734,0.8572729407675672,0.8742733579205564,1.0099340320258592
2020,16 years old,Male,11th,1 to 4 years ago,2.7803017273545265,0.19911098158873874,2.725370781237331,0.5499379964217622
2020,17 years old,Male,11th,Not during the past 7 days but sometime during the past 30 days,2.3406213202048094,2.610248920990567,-2.0179128138434526,1.1859747216208716
2020,17 years old,Male,11th,Not today but sometime during past 7 days,0.4390475740889087,1.520782084963829,0.021949478048002003,0.4384985663907877
2020,17 years old,Male,11th,1 to 4 years ago,2.1256672196788715,3.19866731404135,-2.1222059610148585,-0.12125587759076148
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,2.8498953344067557,3.2499936953740094,-2.8331674695996387,-0.3083269470477304
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,0.9923739169491455,6.085577887923111,0.9730614319902544,-0.1948266937923677
2020,16 years old,Male,11th,1 to 4 years ago,0.22723623525816947,1.1954110926874209,0.08331184025475726,0.21141297000816187
2020,17 years old,Male,12th,1 to 4 years ago,2.779821975925006,0.43036015068484396,2.5263454502470952,1.1597365579524537
2020,17 years old,Female,12th,1 to 4 years ago,2.8691954472567884,1.5173616376656125,0.15324161821211735,2.8651002636917986
2020,18 years old,Male,12th,1 to 4 years ago,2.8924622589256614,0.5718811413735866,2.4322262811292354,1.5654434632696221
2020,19 years old or older,Male,12th,5 or more years ago,1.2429355601547287,4.287208156571028,-0.512692911534569,-1.1322697492909346
2020,18 years old,Male,12th,5 or more years ago,2.8553710750769823,0.24585088945351088,2.769511737763931,0.6949451134975279
2020,18 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,0.3088177415775135,5.138313595637394,0.12759205396551665,-0.2812270706704755
2020,17 years old,Female,12th,1 to 4 years ago,2.7678727755788715,5.482846136149198,1.9277219812865112,-1.9862043360781119
2020,18 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,0.5513790894765407,0.6099966600093585,0.4519378327616577,0.3158656290745717
2020,17 years old,Female,12th,1 to 4 years ago,0.24499471662566066,4.855122569240156,0.03485035960557095,-0.24250332700779623
2020,17 years old,Female,12th,1 to 4 years ago,1.2109224864747377,3.8217546448611213,-0.941456934320268,-0.76157212991971
2020,13 years old,Female,6th,Earlier today,1.5280075910501183,1.791972356944332,-0.33520996078429705,1.49078552464725
2020,11 years old,Male,6th,1 to 4 years ago,2.8863490130519494,1.1239270256262401,1.2473195001442268,2.6029223364722043
2020,14 years old,Female,8th,Not during the past 7 days but sometime during the past 30 days,1.4532326985383406,4.9520953096183185,0.3450226745509888,-1.4116814903322599
2020,15 years old,Male,9th,Not during the past 30 days but sometime during the past 6 months,2.052700482495129,6.127261778281603,2.0277982183772854,-0.31876897023023165
2020,15 years old,Male,9th,Not today but sometime during past 7 days,2.9968759388895707,3.32915397886613,-2.944316369108572,-0.5588081170621645
2020,15 years old,Female,9th,1 to 4 years ago,0.9101109020644799,0.6689342573968596,0.7139665597646963,0.5644055329232569
2020,14 years old,Male,9th,Not today but sometime during past 7 days,2.3424751709681004,4.491297046081041,-0.5136933471767132,-2.285455987690075
2020,10 years old,Male,9th,5 or more years ago,1.2097501280717553,5.407412885160084,0.7747285784620459,-0.9291345446617545
2020,15 years old,Female,10th,1 to 4 years ago,0.9788064576918258,3.02736233822722,-0.9724273888769253,0.11156637029690093
2020,16 years old,Male,10th,Not during the past 30 days but sometime during the past 6 months,0.672681308328174,3.3623361939528644,-0.6563586405818892,-0.1472870581809491
2020,16 years old,Male,10th,Not today but sometime during past 7 days,2.2000176826491953,1.0211202747409807,1.14931349908244,1.8759414395966665
2020,15 years old,Female,10th,1 to 4 years ago,0.6480080332141369,0.3742866367579151,0.6031455755398314,0.23691733962878184
2020,16 years old,Male,10th,1 to 4 years ago,0.48257143837399785,0.248518510330628,0.4677458230020621,0.11869725438472792
2020,16 years old,Female,10th,1 to 4 years ago,1.7248953176662327,0.029205797475837045,1.7241597205538943,0.05036978187773184
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,0.6982936011394485,6.101056273642862,0.6867440367939459,-0.1264775921665757
2020,16 years old,Male,11th,1 to 4 years ago,1.6380517101380974,2.7480322642427195,-1.5128219716919238,0.6281584888008006
2020,16 years old,Male,11th,Not during the past 6 months but sometime during the past year,2.241780658927746,1.8971403512362859,-0.7186748921887658,2.1234610714774087
2020,17 years old,Female,11th,1 to 4 years ago,1.4234722080640496,4.159864098717014,-0.7470924264624003,-1.2116625080661958
2020,17 years old,Female,11th,Not during the past 7 days but sometime during the past 30 days,0.32359278353396803,2.4864517211859987,-0.2565968034518971,0.19715569992655543
2020,16 years old,Male,11th,Earlier today,0.851929467311129,5.677108059252331,0.7001913921400931,-0.4852997338201849
2020,16 years old,Male,11th,Not during the past 30 days but sometime during the past 6 months,0.8021873837802559,5.093683856401043,0.298512106021941,-0.7445771425813157
2020,19 years old or older,Male,12th,Not during the past 30 days but sometime during the past 6 months,2.820970720099285,4.851923395616019,0.3923464473047795,-2.7935533051912214
2020,17 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,2.020026031602174,5.870055433427795,1.8500786880005622,-0.8109956945363801
2020,17 years old,Male,12th,1 to 4 years ago,0.2625878076069057,1.5676676980063782,8.215384341447905e-4,0.26258652246145947
2020,17 years old,Male,12th,1 to 4 years ago,2.4746923700440675,4.337648455737665,-0.9058143034655678,-2.3029552262237996
2020,17 years old,Male,12th,1 to 4 years ago,1.2745406760135667,5.898439979415211,1.1813641653863256,-0.47836455089626984
2020,17 years old,Female,12th,Not during the past 30 days but sometime during the past 6 months,2.096669103484601,2.8748816495144918,-2.0225370913926395,0.552598446838138
2020,17 years old,Male,12th,Not during the past 30 days but sometime during the past 6 months,2.598668145923875,0.12915175061453033,2.5770251358164917,0.3346902777336421
2020,18 years old,Male,12th,1 to 4 years ago,2.8382261560065674,3.722094734631549,-2.3732889274893467,-1.5566076510464293
2020,17 years old,Female,12th,Not during the past 7 days but sometime during the past 30 days,1.3305113418959083,1.9645457149173848,-0.5104554365115399,1.2286967397407156
2020,18 years old,Male,12th,Not during the past 30 days but sometime during the past 6 months,2.7661855643382296,5.349830470712821,1.646271326011311,-2.222964978920309
2020,18 years old,Female,12th,Earlier today,1.2266057120403275,1.1436628174840457,0.508138038529171,1.1164037381743601
2020,18 years old,Male,12th,1 to 4 years ago,2.043908230657689,0.48698846605290835,1.80629605273485,0.9564807500544611
2020,18 years old,Female,12th,1 to 4 years ago,1.3289423333946615,0.5938801113875609,1.101395095034687,0.7436508388497794
2020,17 years old,Male,12th,Earlier today,1.505145479994826,2.134076832340336,-0.8036916343844285,1.2726125383514582
2020,18 years old,Male,12th,1 to 4 years ago,1.991875544260256,4.149243058913789,-1.063360693816096,-1.684289826208376
2020,13 years old,Male,7th,Not during the past 6 months but sometime during the past year,0.6637144677340984,3.95717992070173,-0.45493704602171786,-0.4832692612163439
2020,12 years old,Male,7th,Not during the past 30 days but sometime during the past 6 months,0.8842372622340917,3.064578646470127,-0.8816162829285793,0.06803135746431319
2020,13 years old,Male,7th,1 to 4 years ago,0.9128836992662399,1.2054488421828349,0.32614948895016965,0.8526330742139657
2020,14 years old,Female,8th,5 or more years ago,1.2132460577646271,1.9435384702356084,-0.4418285988182019,1.1299351689135768
2020,14 years old,Female,8th,1 to 4 years ago,0.7823747306829318,3.4855910622300046,-0.7365383020341884,-0.26385895635317136
2020,14 years old,Female,8th,1 to 4 years ago,2.330458091199398,2.7656228432695147,-2.167680183373705,0.855685419675761
2020,14 years old,Female,8th,1 to 4 years ago,0.42639496342744676,2.653424069077357,-0.37658917057206387,0.19998315290078475
2020,14 years old,Male,8th,1 to 4 years ago,2.5990902385674417,3.1690720424223517,-2.5981089919503724,-0.07141242303115204
2020,14 years old,Male,8th,5 or more years ago,1.4335435931337999,3.0842546956794115,-1.4311877500253563,0.08215143085986892
2020,15 years old,Male,9th,Not during the past 30 days but sometime during the past 6 months,2.8725343915633856,2.8215553947990792,-2.7266777150743393,0.9037048571471831
2020,15 years old,Male,10th,5 or more years ago,0.320701109059155,0.5642553605063472,0.27098828663851804,0.17150670498989945
2020,15 years old,Female,10th,Not during the past 30 days but sometime during the past 6 months,0.6800028674770147,1.0044398999364166,0.3648629816982891,0.573828288221482
2020,16 years old,Female,10th,5 or more years ago,2.925192045210861,4.931960837473878,0.637141284798065,-2.8549605049055877
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,1.579354471177794,2.021823722444878,-0.6884254834899787,1.421418622120478
2020,17 years old,Male,11th,Not during the past 6 months but sometime during the past year,1.6141091771190987,4.265765483100466,-0.6971703911853713,-1.4557822231757505
2020,17 years old,Female,11th,Not during the past 6 months but sometime during the past year,0.7929164345143362,5.300282485743223,0.4397589220656249,-0.659794333551454
2020,17 years old,Male,11th,1 to 4 years ago,0.23599872726481408,2.681243213319235,-0.21143062479589583,0.10484507698995318
2020,16 years old,Male,11th,Not during the past 6 months but sometime during the past year,2.5179008003789933,1.7270711418225007,-0.39188483534620233,2.487217464632889
2020,17 years old,Female,12th,1 to 4 years ago,2.487189602316357,2.5511268584107785,-2.066062237133748,1.3847378633374954
2020,17 years old,Female,12th,Not during the past 7 days but sometime during the past 30 days,1.5232183284824714,5.044174738238976,0.4961608206124354,-1.440145310832948
2020,17 years old,Female,12th,Not today but sometime during past 7 days,1.0238027384737507,3.165730857488588,-1.0235044921444658,-0.024710359496580226
2020,18 years old,Male,12th,5 or more years ago,1.523027703515254,3.7454307693453495,-1.2536991061860527,-0.8647843296586963
2020,18 years old,Male,12th,Not today but sometime during past 7 days,2.2243398964172227,3.4467716693379016,-2.1215602233755013,-0.6683338936372107
2020,13 years old,Female,7th,Earlier today,2.824850955721922,5.438053894509685,1.8746642687485358,-2.1131532839622817
2020,13 years old,Male,7th,Earlier today,0.762799181905575,1.0343294755629298,0.38986847472107106,0.6556410331381649
2020,13 years old,Male,7th,Earlier today,1.393879135628231,5.081222614871744,0.5025321110162206,-1.3001386549661869
2020,13 years old,Male,7th,5 or more years ago,0.49398601104039697,1.440954592331198,0.06395993094395962,0.4898278333631595
2020,14 years old,Male,8th,Not during the past 7 days but sometime during the past 30 days,0.47961253942921755,2.9554000666526163,-0.47132300236518315,0.08878522072514285
